FITLER,FITLER_SIZE,EDGE,DP,THRESH1,THRESH2,x,y,r,Accurancy
mean,3,canny,1.5,10,30,154,109,74,0.178571429
mean,3,canny,1.5,10,60,130,40,54,0.321428571
mean,3,canny,1.5,10,90,130,40,56,0.535714286
mean,3,canny,1.5,10,120,130,40,54,0.464285714
mean,3,canny,1.5,30,60,130,40,54,0.357142857
mean,3,canny,1.5,30,90,130,40,56,0.607142857
mean,3,canny,1.5,30,120,130,40,54,0.535714286
mean,3,canny,1.5,50,60,130,40,54,0.607142857
mean,3,canny,1.5,50,90,130,40,54,0.607142857
mean,3,canny,1.5,50,120,130,40,54,0.642857143
mean,3,canny,2,10,30,151,113,76,0.107142857
mean,3,canny,2,10,60,71,55,70,0.25
mean,3,canny,2,10,90,131,39,62,0.464285714
mean,3,canny,2,10,120,129,43,58,0.678571429
mean,3,canny,2,30,60,115,43,66,0.392857143
mean,3,canny,2,30,90,109,47,58,0.5
mean,3,canny,2,30,120,115,39,68,0.642857143
mean,3,canny,2,50,60,115,43,66,0.464285714
mean,3,canny,2,50,90,203,49,58,0.535714286
mean,3,canny,2,50,120,115,43,66,0.714285714
mean,3,canny,2.5,10,30,141,41,74,0
mean,3,canny,2.5,10,60,181,36,70,0.071428571
mean,3,canny,2.5,10,90,176,36,70,0.285714286
mean,3,canny,2.5,10,120,176,46,90,0.392857143
mean,3,canny,2.5,30,60,81,46,80,0.25
mean,3,canny,2.5,30,90,-1,-1,-1,0.357142857
mean,3,canny,2.5,30,120,176,46,90,0.392857143
mean,3,canny,2.5,50,60,176,46,90,0.392857143
mean,3,canny,2.5,50,90,119,41,66,0.428571429
mean,3,canny,2.5,50,120,119,41,64,0.464285714
mean,3,sobel,1.5,-1,-1,107,50,58,0.678571429
mean,3,sobel,2,-1,-1,103,45,58,0.25
mean,3,sobel,2.5,-1,-1,124,41,70,0.071428571
mean,3,laplacian,1.5,-1,-1,113,38,48,0.607142857
mean,3,laplacian,2,-1,-1,113,39,70,0.571428571
mean,3,laplacian,2.5,-1,-1,124,39,70,0.357142857
mean,5,canny,1.5,10,30,112,40,74,0.178571429
mean,5,canny,1.5,10,60,115,40,68,0.464285714
